page-2,page-3,page-4,page-5,page-6,page-7
https://www.allrecipes.com/recipe/254830/lemon-coconut-cleanser/,https://www.allrecipes.com/recipe/247273/fruit-and-vegetable-smoothie/,https://www.allrecipes.com/recipe/247272/terris-spicy-vegetable-smoothie/,https://www.allrecipes.com/recipe/237870/tomato-basil-smoothie/,https://www.allrecipes.com/recipe/18964/pumpkin-pie-smoothie/,https://www.allrecipes.com/recipe/282563/my-green-protein-smoothie/
https://www.allrecipes.com/recipe/246975/energy-elixir-smoothie/,https://www.allrecipes.com/recipe/238345/beet-and-berry-smoothie/,https://www.allrecipes.com/recipe/247360/carrot-apple-cucumber-oj-and-turmeric-smoothie/,https://www.allrecipes.com/recipe/244216/anns-berry-green-smoothie/,https://www.allrecipes.com/recipe/254560/pumpkin-apple-smoothie/,https://www.allrecipes.com/recipe/257738/lambsquarters-seed-smoothie/
https://www.allrecipes.com/recipe/242519/good-morning-green-smoothie/,https://www.allrecipes.com/recipe/241018/protein-packed-spinach-smoothie/,https://www.allrecipes.com/recipe/264428/keto-detox-green-smoothie-for-2/,https://www.allrecipes.com/recipe/240841/sweet-potato-banana-smoothie/,https://www.allrecipes.com/recipe/241216/beet-carrot-almond-ginger-and-spirulina-smoothie/,
https://www.allrecipes.com/recipe/256413/superfood-smoothie/,https://www.allrecipes.com/recipe/204423/caribbean-health-drink/,https://www.allrecipes.com/recipe/240684/secret-ingredient-smoothie/,https://www.allrecipes.com/recipe/247304/peachy-mango-cucumber-tea-smoothie/,https://www.allrecipes.com/recipe/239240/creamy-green-drink/,
https://www.allrecipes.com/recipe/254565/blueberry-spinach-protein-smoothie/,https://www.allrecipes.com/recipe/244694/lean-and-green/,https://www.allrecipes.com/recipe/237594/banana-pineapple-green-blend/,https://www.allrecipes.com/recipe/264149/carrot-smoothie/,https://www.allrecipes.com/recipe/257739/lambsquarters-smoothie/,
https://www.allrecipes.com/recipe/237243/endless-energy/,https://www.allrecipes.com/recipe/262284/green-smoothie-with-kefir/,https://www.allrecipes.com/recipe/230643/veggie-fruit-and-nut-nutritious-green-smoothie/,https://www.allrecipes.com/recipe/245373/sissys-frozen-banana-and-pumpkin-smoothie/,https://www.allrecipes.com/recipe/254346/matcha-berry-swirl-smoothie/,
https://www.allrecipes.com/recipe/237330/carrot-cake-smoothie/,https://www.allrecipes.com/recipe/235282/good-to-go-morning-smoothie/,https://www.allrecipes.com/recipe/246368/vegan-smoothie-bowl-with-carrot-and-banana/,https://www.allrecipes.com/recipe/259589/detox-smoothie/,https://www.allrecipes.com/recipe/256705/dairy-free-pumpkin-spice-smoothie/,
https://www.allrecipes.com/recipe/247301/super-green-tea-smoothie/,https://www.allrecipes.com/recipe/254852/superfood-green-smoothie/,https://www.allrecipes.com/recipe/275127/celery-smoothie/,https://www.allrecipes.com/recipe/272828/spinach-berry-smoothie/,https://www.allrecipes.com/recipe/232931/wild-pina-colada-green-smoothie/,
https://www.allrecipes.com/recipe/240840/best-green-juice-recipe/,https://www.allrecipes.com/recipe/75943/yam-smoothie/,https://www.allrecipes.com/recipe/246112/skinny-black-forest-smoothie/,https://www.allrecipes.com/recipe/255925/creamy-pumpkin-pie-smoothie-shake/,https://www.allrecipes.com/recipe/239221/pumpkin-banana-tofu-smoothie/,
https://www.allrecipes.com/recipe/235995/hala-kahiki-green-smoothie/,https://www.allrecipes.com/recipe/244820/delicious-green-juice/,https://www.allrecipes.com/recipe/241020/green-breakfast-smoothie/,https://www.allrecipes.com/recipe/264160/carrot-wake-up-smoothie/,https://www.allrecipes.com/recipe/247274/healthy-fruit-and-vegetable-smoothie/,
https://www.allrecipes.com/recipe/178133/green-slime-smoothie/,https://www.allrecipes.com/recipe/233420/pumpkin-apple-pie-smoothie/,https://www.allrecipes.com/recipe/255411/sesame-mango-smoothie/,https://www.allrecipes.com/recipe/282561/the-best-green-smoothie/,https://www.allrecipes.com/recipe/256418/bok-choy-thai-green-smoothie/,
https://www.allrecipes.com/recipe/234159/pumpkin-banana-smoothie/,https://www.allrecipes.com/recipe/265909/green-glow-smoothie-bowl/,https://www.allrecipes.com/recipe/235703/easy-pumpkin-pie-smoothie/,https://www.allrecipes.com/recipe/255818/super-fresh-smoothie/,https://www.allrecipes.com/recipe/245302/vegan-green-smoothie/,
https://www.allrecipes.com/recipe/247143/toddler-smoothie/,https://www.allrecipes.com/recipe/280891/blueberry-watermelon-smoothie/,https://www.allrecipes.com/recipe/280452/spinach-avocado-and-mango-smoothie/,https://www.allrecipes.com/recipe/236797/liquid-green-platinum-drink/,https://www.allrecipes.com/recipe/237519/healthy-caesar-smoothie/,
https://www.allrecipes.com/recipe/231321/jumping-ginger-smoothie/,https://www.allrecipes.com/recipe/238540/daily-shake/,https://www.allrecipes.com/recipe/236614/pumpkin-shake/,https://www.allrecipes.com/recipe/258308/refresh-reboot-smoothie/,https://www.allrecipes.com/recipe/260332/sweet-potato-smoothie-bowl/
